PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (cm),Color,Longitud (cm),Número de latiguillos,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,Document3,Document4,Document5,Document6,Document7,DeliveryPlant
1007398,39467,CKKTM-50,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco KTM CK KTM-50,37.80,31.24,12.26,8430525394674,2,8714109090,0,1,"SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment.","SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,496,158,180,81,34,,,,,https://api.mybihr.com/medias/1007398-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRFEwTDJobE9DODVNREV5TkRReE16RTNOREEyTHpFd01EY3pPVGd0TVY4NE1EQlhlRGd3TUVnfGQyMTNlMTIxMWNmYzZkZTQ1MGFiN2M4MzIzOWUxMDkyMmFmMWNkODMxMDYwMWNlZGM2NDMyYTE4NzczYWJhNjc,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007452,39521,CK SUZ-45,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Suzuki CK SUZ-45,37.80,31.24,13.13,8430525395213,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,719,249,175,111,37,,,,,https://api.mybihr.com/medias/1007452-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1NTR8aW1hZ2UvanBlZ3xhRFJqTDJnNU1TODRPVE01TURBeE5qUXpNRE00THpFd01EYzBOVEl0TVY4NE1EQlhlRGd3TUVnfGY2MDU1YTY4ODVmM2JmMTIyNDcxMmI5OWNmODIwODVlYWMzMjY2ZWQ0Mjk3NWJmNjcyOWJkNTE0ZDI1ZjhjZjg,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007438,39505,CKSUZ-24,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Suzuki CK SUZ-24,52.19,43.13,28.03,8430525395053,0,8714109090,0,1,"SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment. Available in several colours, they also give your motorbike a “Racing” look.","SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment. Available in several colours, they also give your motorbike a “Racing” look.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,1584,254,220,180,40,,,,,https://api.mybihr.com/medias/1007438-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NDh8aW1hZ2UvanBlZ3xhR1JtTDJnMFl5ODRPVE00T0RZMk5EUXlNamN3THpFd01EYzBNemd0TVY4NE1EQlhlRGd3TUVnfDMxZjk0Y2ZmYWUzYzljOGQyOTBiZDdmMDUwMGMyZDVlMjczZDUwNjA1OTUzYWY5NjEzYzcyNGU1ZTVlMDFmMDA,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007455,39524,CK SUZ-48,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Suzuki CK SUZ-48,52.19,43.13,18.06,8430525395244,1,8714109090,0,1,"SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment.","SAMCO Sport radiator hoses are a guarantee of quality and performance for cooling your engine. They withstand temperatures of up to 200°C, improving the flow of coolant and UV-resistant thanks to their special treatment.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,674,264,177,81,47,,,,,https://api.mybihr.com/medias/1007455-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhR1ZoTDJnd05TODRPVEkwTVRBMk9ERTNOVFkyTHpFd01EYzBOVFV0TVY4NE1EQlhlRGd3TUVnfGY2ZGE3MTk0ODdiZDljZDUwNDYxMjBlMjU2NjU4NWFkY2ExMjAzYjQ0ZGU2MTRjMTEzMmE0YzY2YTlhYTdjYWM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007465,41718,CKTMM-2,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Tm CK TMM-2,37.80,31.24,14.39,8430525417182,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,168,194,109,81,19,,,,,https://api.mybihr.com/medias/1007465-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzJ8aW1hZ2UvanBlZ3xhREF4TDJnMk55ODRPRFUyTVRFMU5qYzFNVFkyTHpFd01EYzBOalV0TVY4NE1EQlhlRGd3TUVnfDNkYTQ2NTNiYjIxNTY2MWU3OTUyOTJlMTlmNGE3ZWVhNWJmZjRjZjBmNGI3MTY1OGMxZjZkYThjZjJiMWIwOTc,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007457,66297,CKSUZ-51,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Suzuki CK SUZ-51,37.80,31.24,20.31,8430525662971,0,8714109090,0,1,<p>The clip/Serflex kits are used to fit radiator hoses Samco.</p><ul><li>Hose clips kit: 440055 45</li><li>Includes all the clips needed for fitting</li></ul>,"
The clip/Serflex kits are used to fit radiator hoses Samco.Hose clips kit: 440055 45Includes all the clips needed for fitting",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,466,191,80,182,32,,,,,https://api.mybihr.com/medias/1007457-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhR1U0TDJnMlppODRPVE00T1RjeE1UTTJNRE13THpFd01EYzBOVGN0TVY4NE1EQlhlRGd3TUVnfGUzZGZmOGViZTlkYjZkNzY3MzlmNjhiYjRkNDRhM2ExMDY0ZWEzMGM4OTA2Njc2YmNkYjE5YzliNjNhM2ZmYWE,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007458,66303,CK SUZ-52,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Suzuki CK SUZ-52,25.65,21.20,13.78,8430525663039,0,8714109090,0,1,<p>The clip/Serflex kits are used to fit radiator hoses Samco.</p><ul><li>Hose clips kit: 440055 49</li><li>Includes all the clips needed for fitting</li></ul>,"
The clip/Serflex kits are used to fit radiator hoses Samco.Hose clips kit: 440055 49Includes all the clips needed for fitting",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,490,159,80,180,34,,,,,https://api.mybihr.com/medias/1007458-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhR0poTDJobFpDODRPVEkzTURNeE9UZzBNVFU0THpFd01EYzBOVGd0TVY4NE1EQlhlRGd3TUVnfDU4YWI4OWVmZjNmZTVkNTY4NDVhYjA4NzgwN2VkZmVhMTc4YTY4NmY4OTViMDZiZGY0MWM5ZWRlNGZkYzM5ZDM,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1007488,39560,CK YAM-29,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas Samco Yamaha CK YAM-29,37.80,31.24,20.31,8430525395602,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,821,198,240,180,19,,,,,https://api.mybihr.com/medias/1007488-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzJ8aW1hZ2UvanBlZ3xhREZrTDJneFppODRPVE00TkRnME5UazJOelkyTHpFd01EYzBPRGd0TVY4NE1EQlhlRGd3TUVnfDFhMTA0MzE4NzdmMTk1N2Y1YTdlMjVkNmY5ZTFmMTcxM2FlNjhlY2U2YzJkZGI1YThmN2QyNTJiMTExMjA3MmU,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1020522,,CK KAW-90,SAMCO,SAMCO HOSE CLAMP,SAMCO Hose Clamps Kit for SAMCO Radiator Hoses 960293/960295/960294,37.80,31.24,20.31,960296,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs46C03EEC{color:#F00;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>For SAMCO Cooler Hoses Kit 960293/960295/960294 </p><p> </p><ul> <li>Includes all the serflex needed to mount the cooler hoses</li></ul> </body> </html>","       For SAMCO Cooler Hoses Kit 960293/960295/960294   Includes all the serflex needed to mount the cooler hoses  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,809,200,269,177,17,,,,,https://api.mybihr.com/medias/1020522-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1NTR8aW1hZ2UvanBlZ3xhR0ZrTDJnMll5ODRPVFExTnpneE56TTFORFUwTHpFd01qQTFNakl0TVY4NE1EQlhlRGd3TUVnfGE2OTMyYWZjZTAxYmI0Y2Q4ZTA3N2FmZjVmZGQzNTZkODYzNjljYWYxNDI4MTAzMTRkOTBkNDNjODRmNjYyZGE,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
1020526,,CK KTM-12,SAMCO,SAMCO HOSE CLAMP,Kit abrazaderas SAMCO para 44051071,85.04,70.28,45.68,44082105,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csE8AC24F0{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs2654AE3A{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li>Clamps kits are essential to mount Samco hoses</li><li>Includes all the serflex needed to mount the cooler hoses</li></ul> <p> </p></body> </html>","        Clamps kits are essential to mount Samco hosesIncludes all the serflex needed to mount the cooler hoses   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,722,402,174,83,50,,,,,https://api.mybihr.com/medias/1020526-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRGd4TDJnek1TODRPVEkwTlRRMk5EazROVGt3THpFd01qQTFNall0TWw4NE1EQlhlRGd3TUVnfDQ3YzVkNTkyYjU5ZmEwMTMyYzk5ZGFlNWNjNDk3MDMwMzdkODEyNjRjNDNmZGNhYTI5YzZiOWEyYjBiZWE4ZGU,https://api.mybihr.com/medias/1020526-3-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhR0l4TDJneVlTODRPVEkwTlRRMk5qazFNVGs0THpFd01qQTFNall0TTE4NE1EQlhlRGd3TUVnfDRiOGNiMGU5NmRkM2Q2ZTM2NjQyYTUyNTdmOGRhZGRlNDI2NDVlY2YwYzI1MTU1OGFmOGY5YmYzZGNlNTM4MWU,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,https://api.mybihr.com/medias/Samco-Sport-Hose-Clips.pdf?context=bWFzdGVyfHJvb3R8ODMzNzN8YXBwbGljYXRpb24vcGRmfGFHVmtMMmcwWmk4MU1qTXpPVGcxTURVME16RXpOQzlUWVcxamJ5MVRjRzl5ZEMxSWIzTmxMVU5zYVhCekxuQmtaZ3xkNmNiNGM4YTU5ZjhiN2FjOTMxNDY0ZWZhNDAzZWM1MzAzNzg3ZDYzNzU0MWM5MjFjZGY0MDJjMGEzMzkxYjFm,,,,,,,Spain Warehouse (Parts)
1020574,,CK KAW-29,SAMCO,SAMCO HOSE CLAMP,Kit de abrazaderas SAMCO para manguitos de radiador KAW-29,52.19,43.13,28.03,960150,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. LUB&COOLING,,1459,357,193,180,42,,,,,https://api.mybihr.com/medias/1020574-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3ODJ8aW1hZ2UvanBlZ3xhRFZtTDJneE9TODRPVE00TmpBMU5ERXlNemd5THpFd01qQTFOelF0TVY4NE1EQlhlRGd3TUVnfDIwYzU2NWI4NmYyOTkyYWYyNzA5NjE1NGZiOGUyMjdmNDk0NWM5YWIwODkxOWNmMGZhMmE1OTExMjNlZTQzYmY,,,https://static.bihr.pro/eBihr/Pictures/SAMCO-pictures.zip,,,,,,,,Spain Warehouse (Parts)
