PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Anchura (cm),Capacidad (ml/l),Carga máxima (kg),Color,Componente de fijación,Embalaje,Longitud (cm),Peso (kg),Plegable,Posición,Rango de uso,Terminales,Tipo de soporte,Uso recomendado,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,AllPicturesZIP,Document1,DeliveryPlant
1053574,29500,901040101200,BIKE LIFT,BLIFT BIKE STAND REAR SINGLE RIGHT RED,Caballete trasero para basculantes monobrazo BIKE LIFT derecho rojo - RS-16/R,162.55,134.34,87.32,8430525295001,1,7326909890,0,0,"<p>Bike Lift RS-16/R<br>
Caballete trasero monobrazo a la derecha. Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 4 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo. Apoyo al porta coronas con el perno adecuado, donde se hayan dos rodamientos de bolas, permitiendo la rotación de la rueda.<br>
<strong>Altura:</strong> 42cm.</p>
<p><strong>Pernos de montaje opcionales disponibles en varios tamaños:</strong></p>
<ul>
	<li>Pasador aluminio Ø21,8mm : 1053586</li>
	<li>Pasador aluminio Ø27,5mm : 1053587</li>
	<li>Pasador aluminio Ø28,3mm : 1053595</li>
	<li>Pasador aluminio Ø28,7mm : 1053588</li>
	<li>Pasador aluminio Ø30mm : 1053589</li>
	<li>Pasador aluminio + nylon Ø40mm : 1053594</li>
	<li>Pasador aluminio + nylon Ø42mm : 1053590</li>
	<li>Pasador aluminio + nylon Ø50,5mm : 1053592</li>
	<li>Pasador aluminio + nylon Ø52,9mm : 1053593</li>
</ul>
","
Bike Lift RS-16/R
Caballete trasero monobrazo a la derecha. Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 4 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo. Apoyo al porta coronas con el perno adecuado, donde se hayan dos rodamientos de bolas, permitiendo la rotación de la rueda.
Altura: 42cm.

Pernos de montaje opcionales disponibles en varios tamaños:

	Pasador aluminio Ø21,8mm : 1053586
	Pasador aluminio Ø27,5mm : 1053587
	Pasador aluminio Ø28,3mm : 1053595
	Pasador aluminio Ø28,7mm : 1053588
	Pasador aluminio Ø30mm : 1053589
	Pasador aluminio + nylon Ø40mm : 1053594
	Pasador aluminio + nylon Ø42mm : 1053590
	Pasador aluminio + nylon Ø50,5mm : 1053592
	Pasador aluminio + nylon Ø52,9mm : 1053593

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,198000,5760,550,800,450,,,,,Rojo,,,,,,Trasero,,,Monobrazo,,,https://api.mybihr.com/medias/1053574-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk2NTV8aW1hZ2UvanBlZ3xhRFE0TDJobFpTODVNREV5TXpFMU1EazFNRGN3THpFd05UTTFOelF0TVY4NE1EQlhlRGd3TUVnfDQ2Y2QzMWQxZDIzOTA1YmVlNGRkMDliZmVhMjNmY2I5YzQ3Njc3OTM5MTBmOTBmMWU0MGUzYzM4ZTg4YWU2YjI,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053603,34634,911010010100,BIKE LIFT,BLIFT SPARE PART LIFT SLIDE PLATE,Plataforma móvil 510mm moto Bike Lift WP-400 - WP-400,222.83,184.16,128.91,8430525346345,1,8467890000,0,1,"<p>Plataforma&nbsp;de parking 360º para movilizar el vehiculo estacionado por el taller. Dotada de 4 ruedas pivotantes 360º, 2 de ellas con freno, permite posicionar la moto en taller o en garage de una forma segura, rápida y cómoda. Toda la superficie esta&nbsp;recubierta de goma anti-rayaduras, asegurando estabilidad y resistencia. <br><br><strong>Medidas:</strong> 510x468xH59. <br><strong>Carga máxima:</strong> 400kg.<br><br></p><p>*Extensión de la plataforma&nbsp;no incluida.</p>","
Plataforma de parking 360º para movilizar el vehiculo estacionado por el taller. Dotada de 4 ruedas pivotantes 360º, 2 de ellas con freno, permite posicionar la moto en taller o en garage de una forma segura, rápida y cómoda. Toda la superficie esta recubierta de goma anti-rayaduras, asegurando estabilidad y resistencia. Medidas: 510x468xH59. Carga máxima: 400kg.
*Extensión de la plataforma no incluida.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,28553,8209,516,465,119,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1053603-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU1Nzh8aW1hZ2UvanBlZ3xhREptTDJnM05DODRPVGN4TXpnek1UYzNNalEyTHpFd05UTTJNRE10TVY4NE1EQlhlRGd3TUVnfGIyMjRhYWQzMDExNjg0MTU5MTUxMzJmMDU0YzlmZmFlMTFhNTBhMDgxMDYwNGJhMTZkNTk1ZmE0YjA2MmUyNjY,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053575,29468,901070101000,BIKE LIFT,BLIFT BIKE STAND FRONT STATIC RED,Caballete delantero para horquilla perforada BIKE LIFT rojo - FS-9,70.75,58.47,38.01,8430525294684,0,7326909890,0,0,"Bike Lift FS-9<br>Caballete delantero a la horquilla.<br>Específico para horquillas con agujero inferior.<br>Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 2 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo.<br><br><strong>Altura:</strong> 32cm.","Bike Lift FS-9Caballete delantero a la horquilla.Específico para horquillas con agujero inferior.Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 2 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo.Altura: 32cm.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,102445,2449,635,442,365,,,,,Rojo,,,,,,Delantero,,,Fijo - Horquillas,,,https://api.mybihr.com/medias/1053575-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMDh8aW1hZ2UvanBlZ3xhR00xTDJnNVpTODVNREV5TXpJME5ETXpPVFV3THpFd05UTTFOelV0TVY4NE1EQlhlRGd3TUVnfDJmYmQ5YTZiZWY5Mjc5YTY4YTYwZWY0NzE5MzEyMTllNTkwZTdkZTE2MmQ4OTljZTUxZDFjNmY5YmEzODIxZDY,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053582,29495,RAMP-4000,BIKE LIFT,BLIFT BIKE STAND,Rampa de transporte plegable 240cm,192.04,158.71,111.10,8430525294950,14,7616999099,0,1,"RAMP-400.<br>Rampa de aluminio plegable Bike-Lift. Ideal para la carga de motos y Quads (usando 2 rampas) en furgonetas, trailers y remolques. Dotada de cinta de sujeción con gancho revestido de goma.<br><br>- <strong>Capacidad de carga:</strong> 400 kg.<br>- <strong>Dimensiones (l x an):</strong> 2400 x 280 mm.<br>- <strong>Peso neto:</strong> 8 kg.<br>","RAMP-400.Rampa de aluminio plegable Bike-Lift. Ideal para la carga de motos y Quads (usando 2 rampas) en furgonetas, trailers y remolques. Dotada de cinta de sujeción con gancho revestido de goma.- Capacidad de carga: 400 kg.- Dimensiones (l x an): 2400 x 280 mm.- Peso neto: 8 kg.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,48300,6750,1150,280,150,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1053582-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg2MjF8aW1hZ2UvanBlZ3xhR1kwTDJnNU55ODVNREV5TXpJME5qTXdOVFU0THpFd05UTTFPREl0TVY4NE1EQlhlRGd3TUVnfDRhN2I3ZmYxNjZiNGI3YjYyNGI4Y2E5MjhmMjhjMDViZDBiNDRmZTI1MzYzMTRlZWE4ZDU3NGUxMmMzODEzZWY,https://api.mybihr.com/medias/1053582-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTkyMzh8aW1hZ2UvanBlZ3xhRE0zTDJnNU1TODVNREV5TXpJME9ESTNNVFkyTHpFd05UTTFPREl0TWw4NE1EQlhlRGd3TUVnfDcwNDk2NTViODNmOTRiNDU2MWE4MjM0NzI4YmVjNjM3MDdmZTI1ZTk3NmE3ZmQzMzliNmUxMWJjYWI1YTdmNjc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053577,29504,901170101000,BIKE LIFT,BLIFT BIKE STAND REAR STAND FOR ATV,Caballete Quad/ATV al eje trasero - RS-Q,147.50,121.90,79.24,8430525295049,1,7326909890,0,0,"Caballete trasero para Quad/ATV al eje trasero. Fabricado en tubo de acero Ø35mm, de una sola pieza. Dotado de 3 ruedas de nylon en cada lado, garantizando un uso fácil, sencillo y duradero.<br><br><strong>Altura:</strong> 36cm.<br>","Caballete trasero para Quad/ATV al eje trasero. Fabricado en tubo de acero Ø35mm, de una sola pieza. Dotado de 3 ruedas de nylon en cada lado, garantizando un uso fácil, sencillo y duradero.Altura: 36cm.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,170236,12000,730,530,440,,,,,Rojo,,,,,,Trasero,,,ATV,,,https://api.mybihr.com/medias/1053577-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU3OTJ8aW1hZ2UvanBlZ3xhRGcwTDJoak9TODRPVGN4TXpjNE1EWTFORE00THpFd05UTTFOemN0TVY4NE1EQlhlRGd3TUVnfDUwNTU5M2VmODBkMWEzZDAzODVmYjNmZjY0NDJmMGI3NzFlYzUzOWFhNjgzM2Y0NjEzMjMzZmM3NTc2MGU1YTY,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053596,29512,903010000001,BIKE LIFT,BLIFT SAF-10/N ADJUSTABLE V SUPPORT,Soportes V diabolos para caballete trasero - SAF-10/N,26.87,22.21,15.55,8430525295124,2,7326909890,0,1,Par de soportes en “V” para apoyar a los diábolos del basculante.<br>,Par de soportes en “V” para apoyar a los diábolos del basculante.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,11250,400,150,250,300,,,,,,,,,,,,,,V,,,https://api.mybihr.com/medias/1053596-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU1MjN8aW1hZ2UvanBlZ3xhRFV3TDJoalppODRPVGN4TXpneE9EQXdPVGt3THpFd05UTTFPVFl0TVY4NE1EQlhlRGd3TUVnfDM4ZWFhM2M5NzA3ZTE5YWQ5YzQ3ZmQ0MWYzM2Q4MGMxODRhNjdjZmIyOWI1M2RhNWM0MDZhY2M4OTAwZjg5MjM,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1053573,29499,901040101100,BIKE LIFT,BLIFT BIKE STAND REAR SINGLE LEFT RED,Caballete trasero para basculantes monobrazo BIKE LIFT izquierdo rojo - RS-16,162.55,134.34,87.32,8430525294998,9,7326909890,0,0,"<p>Caballete trasero monobrazo a la izquierda.</p>
<p>Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 4 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo. Apoyo al porta coronas con el perno<br>
adecuado, donde se hayan dos rodamientos de bolas, permitiendo la rotación de la rueda.<br>
<strong>Altura:</strong> 42cm.</p>
<p><strong>Pernos de montaje opcionales disponibles en varios tamaños:</strong></p>
<ul>
	<li>Pasador aluminio Ø21,8mm : 1053586</li>
	<li>Pasador aluminio Ø27,5mm : 1053587</li>
	<li>Pasador aluminio Ø28,3mm : 1053595</li>
	<li>Pasador aluminio Ø28,7mm : 1053588</li>
	<li>Pasador aluminio Ø30mm : 1053589</li>
	<li>Pasador aluminio + nylon Ø40mm : 1053594</li>
	<li>Pasador aluminio + nylon Ø42mm : 1053590</li>
	<li>Pasador aluminio + nylon Ø50,5mm : 1053592</li>
	<li>Pasador aluminio + nylon Ø52,9mm : 1053593</li>
</ul>
","
Caballete trasero monobrazo a la izquierda.

Fabricado en tubo de acero de una sola pieza de Ø35 mm, pintado de rojo especial a base de polvo de poliéster. Incluye 4 ruedas de nylon de Ø90mm para situar fácilmente el caballete en el vehiculo. Apoyo al porta coronas con el perno
adecuado, donde se hayan dos rodamientos de bolas, permitiendo la rotación de la rueda.
Altura: 42cm.

Pernos de montaje opcionales disponibles en varios tamaños:

	Pasador aluminio Ø21,8mm : 1053586
	Pasador aluminio Ø27,5mm : 1053587
	Pasador aluminio Ø28,3mm : 1053595
	Pasador aluminio Ø28,7mm : 1053588
	Pasador aluminio Ø30mm : 1053589
	Pasador aluminio + nylon Ø40mm : 1053594
	Pasador aluminio + nylon Ø42mm : 1053590
	Pasador aluminio + nylon Ø50,5mm : 1053592
	Pasador aluminio + nylon Ø52,9mm : 1053593

",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ACCESS.,,180523,5451,734,568,433,,,,,Rojo,,,,,,Trasero,,,Monobrazo,,,https://api.mybihr.com/medias/1053573-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzE5ODZ8aW1hZ2UvanBlZ3xhR0ZpTDJnMk5pODRPVGN4TXpjM01qYzVNREEyTHpFd05UTTFOek10TVY4NE1EQlhlRGd3TUVnfDU3MTU2MGIwMGQyN2IyNTUyNGVmYzRhZTNhNWYyZTY1Mjg5NGYyNjc3OTZkNDc4MGEwYTUyZmU3ZjI0Yzc1YzY,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1100193,51100081,LEB-50-FO,BIKE LIFT,BLIFT SHOP STAND ELEC POWERFULL OPT BIKE,"Elevador de bicicleta Bike-Lift, eléctrico, especial e-Bike. Versión full equip - LEB-50-FO",2698.99,2230.57,1561.40,LEB-50-FO,0,8467890000,0,0,"<p>Una estructura sencilla y eficaz, capaz de levantar un peso m&aacute;ximo de 50kg, a una altura que oscila entre los 88 y los 198&thinsp;cm. Gracias a una mordaza giratoria de 360&deg;, te permite trabajar cualquier parte de la bici con plena comodidad y precisi&oacute;n.</p><p>&nbsp;</p><ul><li>Capacidad m&aacute;xima: 50&thinsp;kg</li><li>Altura m&aacute;xima: 88&thinsp;cm</li><li>Altura m&iacute;nima: 198&thinsp;cm</li><li>Peso: 70&thinsp;kg</li></ul><p>&nbsp;</p><p><strong>Incluye:</strong></p><p>&nbsp;</p><ul><li>Mordaza giratoria de 360&deg;</li><li>Bandeja portaherramientas</li><li>Bloqueo de manillar</li><li>L&aacute;mpara LED recargable, de 7&thinsp;h de duraci&oacute;n</li></ul>","
Una estructura sencilla y eficaz, capaz de levantar un peso máximo de 50kg, a una altura que oscila entre los 88 y los 198 cm. Gracias a una mordaza giratoria de 360°, te permite trabajar cualquier parte de la bici con plena comodidad y precisión.
 Capacidad máxima: 50 kgAltura máxima: 88 cmAltura mínima: 198 cmPeso: 70 kg
 
Incluye:
 Mordaza giratoria de 360°Bandeja portaherramientasBloqueo de manillarLámpara LED recargable, de 7 h de duración",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,749250,100000,2250,740,450,,,,,,,,,,,,,,,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & MTB & Trekking/Touring,220 / 110V,https://api.mybihr.com/medias/1100193-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE1MTY1fGltYWdlL2pwZWd8YURjeEwyZ3hZUzh4TkRFeE56WTRNemM0T1RnMU5DOHhNVEF3TVRrekxURmZPREF3VjNnNE1EQkl8ZDM0NTM2MTU4MGMxNzg2NGUxMTE0Y2RmOWU2MDkxNmU2YjliZjQ5YmFiZGQ1ZGUwODI1MjE1ZDE3ZGU5YmYwZQ,https://api.mybihr.com/medias/1100193-2-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg4MzB8aW1hZ2UvanBlZ3xhRFF4TDJneU1TOHhOREV4TnpZNE16azROalEyTWk4eE1UQXdNVGt6TFRKZk9EQXdWM2c0TURCSXw5MjRlZmM3YTBmMDVlOTVkNTM2MzA4YjYyZWIyNTRlYTM4NGE3NWIyNDM5MzliNmQyMjI3NGEwN2Y1YzY5Yzhl,https://api.mybihr.com/medias/1100193-3-800Wx800H?context=bWFzdGVyfHJvb3R8OTI5MzF8aW1hZ2UvanBlZ3xhR0prTDJnMlppOHhOREV4TnpZNE5ERTRNekEzTUM4eE1UQXdNVGt6TFROZk9EQXdWM2c0TURCSXxkMmE1YzI3ODkwNzFjNWM1OWQ5MWNiNTM4ZGM0NmQyMmY1MDBmYTFjNDUwNDAwMmU3MjAyN2M2ZTc1Y2EwNGRj,https://api.mybihr.com/medias/1100193-4-800Wx800H?context=bWFzdGVyfHJvb3R8MTM0NTg3fGltYWdlL2pwZWd8YURoaUwyZzNPUzh4TkRFeE56WTRORFEwTlRJeE5DOHhNVEF3TVRrekxUUmZPREF3VjNnNE1EQkl8ZTVmZjg5NTMzZmU4MTRmOTRjYTZkMzNkNzI1YWVjNDc4YWI5NjliNWI2ZWFkYjA1NmQ0ZDk3OTM3Mzk5ZWNjMA,https://api.mybihr.com/medias/1100193-5-800Wx800H?context=bWFzdGVyfHJvb3R8MTk3MTB8aW1hZ2UvanBlZ3xhREU1TDJnNE55OHhOREV4TnpZNE5EZ3pPRFF6TUM4eE1UQXdNVGt6TFRWZk9EQXdWM2c0TURCSXw3NjM0N2E3ZTY1Y2MwMjI4NDg1NDVmYzYxMmFiMjNjOTAyNTYwMmJkNzBkYmU4YWI1MzZlNzRiNjlkOWQzMzY2,https://api.mybihr.com/medias/1100193-6-800Wx800H?context=bWFzdGVyfHJvb3R8MTU5NDI3fGltYWdlL2pwZWd8YURZMUwyaGtZeTh4TkRFeE56WTROVEl6TVRZME5pOHhNVEF3TVRrekxUWmZPREF3VjNnNE1EQkl8NTM4MGFjZWIzNzI3Y2QyMTVhM2U0YjQxNmU0NWM4NWU1MjBhYzVlN2VhNDBiMGM2ZTg4M2MwZThmOTJlMzU4Nw,https://api.mybihr.com/medias/1100193-7-800Wx800H?context=bWFzdGVyfHJvb3R8MzIzMTQyfGltYWdlL2pwZWd8YUdZeUwyaGxPUzh4TkRFeE56WTROVFl5TkRnMk1pOHhNVEF3TVRrekxUZGZPREF3VjNnNE1EQkl8NGVlOGU3OWVhNDU0YmQ0ZDJmNWIwNDE2N2QzY2JiZTZlZTNiZDg4YmU3MjRkMGYyNzRlMTc0ZWU3ODViM2FlMw,https://api.mybihr.com/medias/1100193-8-800Wx800H?context=bWFzdGVyfHJvb3R8ODYyNjR8aW1hZ2UvanBlZ3xhR1F6TDJoak1DOHhOREV4TnpZNE5qQXhPREEzT0M4eE1UQXdNVGt6TFRoZk9EQXdWM2c0TURCSXw5NmJiYTkzNDIyNjUzNWIwMmQ3ODQ3ODFjMjJiMTY3NTU1YjgzZGE3NTkzYTBlMDlmMDVmZDI4NDk3MjhlNjZl,https://api.mybihr.com/medias/1100193-9-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MzQ2fGltYWdlL2pwZWd8YURNekwyaGlNeTh4TkRFeE56WTROalF4TVRJNU5DOHhNVEF3TVRrekxUbGZPREF3VjNnNE1EQkl8YzU0NGNiOGZmMmMwNjY1MjQwMmEwZDM1ZGU1ZmRmNTQ1NzBjYmIxZGY1NDNmZTIxODVjMDE4ZjUxZWRmZWViYg,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1100203,59800029,W-29EB,BIKE LIFT,BLIFT WHEEL CHOCK BIKE,Expositor bloca-rueda bicicleta Bike-Lift modular - W-29,244.08,201.72,41.00,W-29EB,2,7616999099,0,0,"<p>El expositor bloca-rueda W-29EB ha sido dise&ntilde;ado y desarrollado para el transporte y / o almacenamiento seguro de bicicletas E-Bikes y MTB.</p><p>&nbsp;</p><p>Par transportar de forma segura las bicicletas a una carrera o aventura de trekking. Se puede fijar con tornillos en la plataforma de un remolque o furgoneta. Tambi&eacute;n est&aacute; equipado con ra&iacute;les donde apoya la rueda para que la bicicleta se pueda sujetar de forma segura al expositor, evitando que se desenganche.</p><p>&nbsp;</p><p>Se puede utilizar con ruedas de hasta 29"", especialmente dise&ntilde;ado para bicicletas el&eacute;ctricas y MTB. Equipado con almohadillas antideslizantes para un excelente agarre incluso en superficies lisas. Pesa unos 10 kg, creando una base s&oacute;lida sin necesidad de usar correas de seguridad (aunque son muy recomendables)</p>","
El expositor bloca-rueda W-29EB ha sido diseñado y desarrollado para el transporte y / o almacenamiento seguro de bicicletas E-Bikes y MTB.
 
Par transportar de forma segura las bicicletas a una carrera o aventura de trekking. Se puede fijar con tornillos en la plataforma de un remolque o furgoneta. También está equipado con raíles donde apoya la rueda para que la bicicleta se pueda sujetar de forma segura al expositor, evitando que se desenganche.
 
Se puede utilizar con ruedas de hasta 29"", especialmente diseñado para bicicletas eléctricas y MTB. Equipado con almohadillas antideslizantes para un excelente agarre incluso en superficies lisas. Pesa unos 10 kg, creando una base sólida sin necesidad de usar correas de seguridad (aunque son muy recomendables)",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,312000,12000,800,600,650,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1100203-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIxMjE2fGltYWdlL2pwZWd8YUdNeEwyaGlOaTh4TVRJeE1EUTJPRE0yTURJeU1pOHhNVEF3TWpBekxURmZPREF3VjNnNE1EQkl8NGE1NmRkOTI4YzliYTVjNzViNGRiM2JmMWI0ZWYwMTAyMWYyZTZkYjIxOGFjNDlhYWFiOTg1NDIwNmIwN2ZmNg,https://api.mybihr.com/medias/1100203-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzA1MzJ8aW1hZ2UvanBlZ3xhRE0wTDJoaE9TOHhNVEl4TURRMk9EYzFNelF6T0M4eE1UQXdNakF6TFRKZk9EQXdWM2c0TURCSXxiOGFjMjc5OGRjYmZiMzIzODViZTdjMjZiNWM0YjY0MGQ5YjUzYjM4OTI3MWFmMjRiN2Y2ZWNiMTEyYjAwMzZl,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1100201,59800027,RS-EB,BIKE LIFT,BLIFT UNI. REAR STANDW. ADAPT.SYM.FRAMES,Expositor de bicicleta Bike-Lift para E-Bike con vainas simétricas - RS-EB,95.07,78.57,55.00,RS-EB,3,7616999099,0,0,<p>El expositor trasero RS-EB es el &uacute;nico soporte para E-Bikes en el mercado que puede funcionar como soporte de estacionamiento para reparaciones y ajustes sencillos durante cualquier evento de competici&oacute;n.</p><p>&nbsp;</p><p>Su dise&ntilde;o es el resultado de una dilatada experiencia en el sector de la motocicleta. Permite al usuario realizar cualquier tipo de peque&ntilde;o mantenimiento elevando la rueda trasera del suelo. Una sola persona puede reparar f&aacute;cilmente la cadena de la bicicleta o ajustar los cambios sin problemas de una manera segura.</p><p>&nbsp;</p><p>Adecuado para basculantes sim&eacute;tricos.</p>,"
El expositor trasero RS-EB es el único soporte para E-Bikes en el mercado que puede funcionar como soporte de estacionamiento para reparaciones y ajustes sencillos durante cualquier evento de competición.
 
Su diseño es el resultado de una dilatada experiencia en el sector de la motocicleta. Permite al usuario realizar cualquier tipo de pequeño mantenimiento elevando la rueda trasera del suelo. Una sola persona puede reparar fácilmente la cadena de la bicicleta o ajustar los cambios sin problemas de una manera segura.
 
Adecuado para basculantes simétricos.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,87411,4111,532,383,429,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1100201-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3MjB8aW1hZ2UvanBlZ3xhRE0yTDJnNVlpOHhNRFkzTnpZd016UXdNVGMxT0M4eE1UQXdNakF4TFRGZk9EQXdWM2c0TURCSXw3YjY0NmY1MTU3Y2FlZjM0YzBhZWFkYjEzYmIxNDBlMDg3NzRjYWZjY2I1NTg0ZjI2YTU0MzgzOTMyODVhMzVi,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
1100200,59800028,510202002100,BIKE LIFT,BLIFT FLOP-STOP AJUSTABLEHANDLEBAR HOLD,Bloca-manillar bicicleta Bike-Lift para trabajo profesional,40.99,33.88,23.72,510202002100,0,7616999099,0,0,<p>Herramienta esencial que mantiene el manillar recto mientras se trabaja en la bicicleta. Anchura ajustable y abrazaderas de goma.</p>,"
Herramienta esencial que mantiene el manillar recto mientras se trabaja en la bicicleta. Anchura ajustable y abrazaderas de goma.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,1187,156,710,76,22,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1100200-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYwMDh8aW1hZ2UvanBlZ3xhRFkwTDJobE5pOHhNVEl4TURRMk56VTNNemM1TUM4eE1UQXdNakF3TFRGZk9EQXdWM2c0TURCSXxkMTZjOThkYTVmMTcyNjdkMWFiNjU2ZjVlMmIzZGFmNjNhNWU5MjIyZWI1OWViY2Y3MDk4MjRjNDljMmMxYTA2,https://api.mybihr.com/medias/1100200-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTA0NTZ8aW1hZ2UvanBlZ3xhR1l5TDJobU15OHhNVEl4TURRMk56azJOekF3Tmk4eE1UQXdNakF3TFRKZk9EQXdWM2c0TURCSXxlNTFiOTc5ODg4ZjZiYWU0OTQ5NTM4NzEyMmZkNDA5NDYxMGQ0Njg5OWVjMmI5NWE2ZjFkYzA5NzA2NTNmODRh,,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIKE_LIFT-pictures.zip,,Spain Warehouse (Parts)
