PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Posición,Picture1,AllPicturesZIP,Document1,DeliveryPlant
1006082,121112,OD1SR140C220045,STM,STM SPAREPARTS WASHER,Arandela para embrague 3MM DUCATI 1090,4.72,3.90,2.81,OD1SR140C220045,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,351,42,100,78,45,,,,,https://api.mybihr.com/medias/1006082-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YURoa0wyaGlOaTg0T1RJMk16WTNNREl6TVRNMEx6RXdNRFl3T0RJdE1WODRNREJYZURnd01FZ3xjZTkyYjJkNWVmNmE0N2I4Y2MxOGYwNDI4ZjgwMjgzNjkyMzU4MzM4ZWFiNzQwYmZhOTUwNTNjNzNjYmNjNGJj,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006037,121820,0F3MR230A11R004,STM,STM SPAREPARTS BEARINGS REST,Araña de embrague STM para REF 121750,52.44,43.34,32.67,0F3MR230A11R004,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,150,60,82,76,24,,,,,https://api.mybihr.com/medias/1006037-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzY2NzZ8aW1hZ2UvanBlZ3xhRGxtTDJnMk1DODRPVFExTnpjMU5EUXpPVGs0THpFd01EWXdNemN0TVY4NE1EQlhlRGd3TUVnfGEzMDRlYjliMDk0ZDNkZjM5NTVjZTNjMzU2YTg1ODVlMDE1ZTNmMTc2MTc3MDY1ZTgwMTg1N2FhOWM3OTkzMzM,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006039,126769,0F3MR260A130007,STM,STM SPAREPARTS STOPPER HUB,Tope de Muelle del buje para embrague STM 126753,40.90,33.80,22.36,0F3MR260A130007,3,8714109090,0,1,"The STM slipper clutch can reduce the detrimental effects of engine braking, for more efficient riding. Developed in the S1 World Championship, this part is a major ally in the supermoto paddock.","The STM slipper clutch can reduce the detrimental effects of engine braking, for more efficient riding. Developed in the S1 World Championship, this part is a major ally in the supermoto paddock.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,41,85,54,63,12,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006060,110470,0F3SR300B220009,STM,STM SPAREPARTS WASHER,Arandela tope de buje para embrague STM,58.32,48.20,27.95,0F3SR300B220009,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,30,29,53,63,9,,,,,https://api.mybihr.com/medias/1006060-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YUdNd0wyaGpNQzg0T1RBeE56SXlNVFEwTnprNEx6RXdNRFl3TmpBdE1WODRNREJYZURnd01FZ3wyMjMwNmI0OWM1ODgwYjQyYWEzODM0YWJkZGE5ZmQyODE2ZWJjMWY2YzQ5MGI3ZDYxNjZhZjExZDE1MzA0ODkz,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006087,110606,OS1090/180,STM,STM SPRINGS PRIMARY 90MM 180KG,Muelle primario embrague STM Ø90MM 180KG,61.82,51.09,36.78,OS1090/180,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,290,81,156,124,15,,,,,https://api.mybihr.com/medias/1006087-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg3Nzl8aW1hZ2UvanBlZ3xhRGczTDJobVlpODRPVFV6TWpVeU1EZzFOemt3THpFd01EWXdPRGN0TVY4NE1EQlhlRGd3TUVnfDY1NGUzMWVkOTRkOGQ1NzM4NDM4YmU3Y2I4MzdlMzgwYzk3ZDEyMDUyZmRkN2YzYTg4MTRhMTU3NzIzM2Y3YTI,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005902,121821,0F3MR230A110009,STM,STM CLUTCH SLIPPER - WASHER,Arandela tope de buje para embrague STM CRF450R,40.90,33.80,22.36,0F3MR230A110009,3,8714109090,0,1,STM slipper clutches can overcome the detrimental effects that engine braking has on the motorcycle while downshifting. Corner entry is smoother and more accurate.,STM slipper clutches can overcome the detrimental effects that engine braking has on the motorcycle while downshifting. Corner entry is smoother and more accurate.,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,82,17,55,68,22,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005903,126819,0F3MR260B110045,STM,STM CLUTCH INNER HUB,Arandela para nuez de embrague STM,15.73,13.00,10.40,0F3MR260B110045,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,10,15,50,48,4,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005966,121919,SHN-R020,STM,STM CLUTCH SLAVE CLUTCH CYLINDER,Receptor de embrague STM CBR1000RR Color Rojo,181.50,150.00,94.25,SHN-R020,3,8714109090,0,1,COLOUR RED,COLOUR RED,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,583,218,123,79,60,,,,,https://api.mybihr.com/medias/1005966-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzc2Njh8aW1hZ2UvanBlZ3xhR1kxTDJnd015ODRPVEkwTURrMk1EQTBNVEkyTHpFd01EVTVOall0TVY4NE1EQlhlRGd3TUVnfGM2NzE1M2NhOWVlYmUxNGMyMDQzOGU1YTA0MTk3YTI3NGIxMDQzZWFmYjYzZDhhMmI2ZTZlZTYxZDNhODBhMGI,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005951,124759,FYA-M120,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM YZ450F 07-18 Supermotard,1237.60,1022.81,572.78,FYA-M120,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2511,1344,164,178,86,,,,,https://api.mybihr.com/medias/1005951-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTUzODh8aW1hZ2UvanBlZ3xhRFF6TDJnd05TODRPVEF4TURreE9UZ3pNemt3THpFd01EVTVOVEV0TVY4NE1EQlhlRGd3TUVnfGZkYmY1MDlmODI1NjgzZDk2MTcwODUzYWIyN2YwZmZjNGE5MzY1NzcyOTQ5ZGEwMjg2MTYxZTZmYzAyMzZmYzg,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005998,110638,001MG017,STM,STM SPAREPARTS SPRING,Muelle de araña de embrague STM (6 patas),97.20,80.33,64.26,001MG017,1,8714109090,0,1,6 lugs.,6 lugs.,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,96,20,85,94,12,,,,,https://api.mybihr.com/medias/1005998-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAzMzF8aW1hZ2UvanBlZ3xhRGcwTDJnM01pODRPVFV5T1RJMk1UUXlORGswTHpFd01EVTVPVGd0TVY4NE1EQlhlRGd3TUVnfDUxNzE5ZTc1OGY5ZTk3ZTNjMzA0ZDM4NTMyZjQ0MzdkMTIwOWEzYThkZWMxOTFiMmE0MWRjNTc2M2YwYWY0NGI,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005978,126823,0F10S140A20003,STM,STM PLATE PRESSURE,Plato de presión para embrague STM para REF 126726,106.92,88.36,68.69,0F10S140A20003,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,961,353,180,157,34,,,,,https://api.mybihr.com/medias/1005978-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYzNzd8aW1hZ2UvanBlZ3xhR0UwTDJobFl5ODVNREV5TkRJMU1qSTRNekU0THpFd01EVTVOemd0TVY4NE1EQlhlRGd3TUVnfDk0OWZjZWE4YmM4MjU0ODRhNDkyYTRhOGQzYWFkZTVkYmVkOWNmM2M5YWU0Nzc3N2FhM2I4ZWQ1M2FiMzEyZjk,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005980,121815,0F3CR300A070003,STM,STM PLATE PRESSURE,Plato de presión para embrague STM para REF 122700 / 122750,238.44,197.06,110.36,0F3CR300A070003,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,1010,185,162,164,38,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005934,122752,FKW-M020,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM KX450F 06-18 Supermotard,1237.60,1022.81,654.60,FKW-M020,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2098,1250,167,157,80,,,,,https://api.mybihr.com/medias/1005934-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjI5NTB8aW1hZ2UvanBlZ3xhR1l5TDJnMU5pODRPRFV6TnpJMU9EY3lNVFU0THpFd01EVTVNelF0TVY4NE1EQlhlRGd3TUVnfDZiZDcyMTdjZTE1ODhmYmUyN2Q1OGY3ODNhNTYxNTA5Y2MwYzIwMGE0MjljZmE2NjJkYTFiNTM2MDkyZTg2YWU,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006001,120800,001MG025,STM,STM SPAREPARTS STEEL BALL BEARING,Bola de acero 1/4'' para embrague STM,1.21,1.00,0.72,001MG025,156,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,48,10,80,60,10,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005946,123712,FSU-S110,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM GSXR1000 09,1237.60,1022.81,552.50,FSU-S110,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2481,1172,174,162,88,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005947,123711,FSU-S120,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM HAYABUSA GSXR 1300 99-09,1237.60,1022.81,552.50,FSU-S120,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2481,1670,174,162,88,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005912,127118,FDU-S040,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM DUCATI 899 PANIGALE,1237.60,1022.81,572.78,FDU-S040,4,8714109090,0,1,"<p><strong>Since 1994 the company STM is specialized in the production of high precision mechanical parts for motorcycles.</strong></p> <p>With a fleet of ultra-modern machining centers, it makes such a clutch system called ingenious CEB (Engine Braking Control).</p> <ul> <li>From 1994, the company STM is specialized in high precision mechanical pieces production for monocycle</li> <li>Thanks to ultramodern manufacturing machines, STM produces the clever clutch system called C.E.B. (Controle Engine Braking) </li> <li>The C.E.B system eliminates negative effects of the engine brake, allowing better road holding</li> <li>Indeed, balls placed between the pressure plate and the inner hub limit the engine brake when it becomes too important</li> <li>This clutch system gives you the possibility to downshift from 6th to 1st without blocking the rear wheels, avoiding neither dribbling nor loosing grip</li> <li>Initially developed for Superbike and Moto GP</li> <li>Development is made all year long in collaboration with the better Teams</li></ul>","
Since 1994 the company STM is specialized in the production of high precision mechanical parts for motorcycles. 
With a fleet of ultra-modern machining centers, it makes such a clutch system called ingenious CEB (Engine Braking Control).  From 1994, the company STM is specialized in high precision mechanical pieces production for monocycle Thanks to ultramodern manufacturing machines, STM produces the clever clutch system called C.E.B. (Controle Engine Braking)  The C.E.B system eliminates negative effects of the engine brake, allowing better road holding Indeed, balls placed between the pressure plate and the inner hub limit the engine brake when it becomes too important This clutch system gives you the possibility to downshift from 6th to 1st without blocking the rear wheels, avoiding neither dribbling nor loosing grip Initially developed for Superbike and Moto GP Development is made all year long in collaboration with the better Teams",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2897,1314,167,177,98,,,,,https://api.mybihr.com/medias/1005912-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUxMzB8aW1hZ2UvanBlZ3xhRFF5TDJoaE5pODRPVEkyT0RBek56SXlNamN3THpFd01EVTVNVEl0TVY4NE1EQlhlRGd3TUVnfGQ3ZjMyMjI4Y2FjYTU0NGZmNjhlNjA4YTZlNjViOTc1YmJhYTI4ODAxNjk5YmE2MWRjYTBkZGFkNmVlMmFlNmI,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006025,123803,0F3CR540E110009,STM,STM SPAREPARTS WASHER - DRUM RETAINING,Arandela tope de tambor para embrague STM DR-Z400 / RM-Z450,64.80,53.55,27.95,0F3CR540E110009,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,21,26,70,61,5,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006028,126940,0F3CR540J110004,STM,STM SPAREPARTS BRACKET,Soporte tope para embrague STM 123710 y 123760,155.51,128.52,66.30,0F3CR540J110004,3,8714109090,0,1,For 123710 and 123760,For 123710 and 123760,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,314,72,136,136,17,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1005935,122701,FKW-S081,STM,STM CLUTCH SLIPPER,Embrague anti-rebote STM ZX10R '04-11,1059.96,876.00,552.50,FKW-S081,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,2483,1299,171,165,88,,,,,https://api.mybihr.com/medias/1005935-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA0NjB8aW1hZ2UvanBlZ3xhR00xTDJobFl5ODRPVE00T1RjNU5Ua3dNVGMwTHpFd01EVTVNelV0TVY4NE1EQlhlRGd3TUVnfDE2ZWMwOGFjYjYzZWVkYjZhNThjMmNmNTZmMDdiMTM2MWZhNWI2NzM2ZTQwOTU4NTFlNDIyMzUzMjVkNWM4NTM,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006022,121818,0F3CR230D070013,STM,STM SPAREPARTS NUT,Tuerca STM embrague HONDA CRF250R/X para STM 121700 y 121750,51.84,42.84,23.99,0F3CR230D070013,7,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,37,30,63,42,14,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006018,124805,003YAM006,STM,STM SPAREPARTS STOPPER HUB,Casquillo de tambor de embrague STM,64.80,53.55,27.95,003YAM006,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,43,34,72,50,12,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006013,126778,003MG106,STM,STM SPAREPARTS WASHER,Arandela para buje de embrague STM,194.39,160.65,27.95,003MG106,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,78,31,60,68,19,,,,,https://api.mybihr.com/medias/1006013-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YURKaUwyZzJaaTg0T1RBeE56TXlNVGN4T0RBMkx6RXdNRFl3TVRNdE1WODRNREJYZURnd01FZ3xkMjBjMzc4NDM2ZmRhNmQ0MTMzOWUxYmEzMDhkZjY5MGFkN2JkMzNmNTMxNTRhZjA3ZjA0ODk3MTAwOGJiNjYx,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006002,121812,001MG028,STM,STM SPAREPARTS WASHER,Arandela tope de buje para embrague STM Ducati original,102.38,84.61,43.77,001MG028,3,8714109090,0,1,<ul><li>STM spare part</li><li>Slipper clutch thrust washer</li><li>Supplied as a single unit</li></ul>,STM spare partSlipper clutch thrust washerSupplied as a single unit,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,72,64,65,55,20,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006049,126944,0F3MR320F11R004,STM,STM SPAREPARTS STOPPER HUB,Soporte de rodamientos de embrague STM KTM para 125703 ET 125753,155.51,128.52,92.54,0F3MR320F11R004,3,8714109090,0,1,FOR 125703 AND 125753,FOR 125703 AND 125753,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,165,61,121,68,20,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006070,124814,0F3SR620I220013,STM,STM SPAREPARTS NUT - M20X1,Tuerca STM M20X1 YZF-R1 '06-07,51.84,42.84,21.45,0F3SR620I220013,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,108,42,83,65,20,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006034,121810,0F3MR230A110007,STM,STM SPAREPARTS HUB,Casquillo de embrague STM para muelle primario,64.80,53.55,38.56,0F3MR230A110007,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,88,50,69,24,53,,,,,,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006043,121819,0F3MR320A110013,STM,STM SPAREPARTS NUT,Tuerca central STM para embrague BETA,51.84,42.84,21.45,0F3MR320A110013,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,64,48,84,63,12,,,,,https://api.mybihr.com/medias/1006043-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg4NDZ8aW1hZ2UvanBlZ3xhRFkyTDJneU9DODRPVEkyT1RRd09UVTBOalUwTHpFd01EWXdORE10TVY4NE1EQlhlRGd3TUVnfDc0NTFjYzc2N2JlMmI0ZDI0YzZhYjg0NmYzNDZmNzJkYTU0NTBlMzk2ODg1N2U3MDJiZTBhMzgzNTIyZGQyNjU,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
1006065,126783,0F3SR580B150013,STM,"STM SPAREPARTS NUT M22X1,5",Tuerca central STM,51.84,42.84,23.99,0F3SR580B150013,3,8714109090,0,1,"STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.","STM replacement parts are used for reconditioning the manufacturer clutches, these can be readily available or on supplier's order.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,19,23,50,25,15,,,,,https://api.mybihr.com/medias/1006065-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YURReEwyZ3dPUzg0T1RBeE56Y3dOVEV3TXpZMkx6RXdNRFl3TmpVdE1WODRNREJYZURnd01FZ3w0YmVjNDA3MGI3OWM0MmRlY2NlOWVjOTA0ZThkODc1ZWU1MDRjYWQ0MjRkOTI5YTM5ZjZmOTlkMmY5ZjYzMDMx,https://static.bihr.pro/eBihr/Pictures/STM-pictures.zip,,Spain Warehouse (Parts)
