PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura del neumático (perfil),Anchura del neumático,Categoría de neumático,Compuesto de neumático,Diámetro de la llanta,Estructura de neumático,Familia de neumáticos,Homologación,Índice de carga del neumático (IC),Índice de velocidad (CV),Marcajes,Modelo,Posición,Sin cámara o tipo de cámara,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
9006367,,11130031,HEIDENAU,HEIDE TIRE K36 110/90-16,Neumático HEIDENAU K36 110/90-16 M/C 59S TL,165.17,136.50,84.63,4027694130314,0,4011400000,0,1,"<p><strong>Dise&ntilde;o vintage.</strong></p>
<p>Un dise&ntilde;o de banda de rodadura perfecto para la mayor&iacute;a de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.</p>
<p><strong>Manejo y rendimiento</strong></p>
<p>Los compuestos y la construcci&oacute;n modernos ofrecen una conducci&oacute;n estable y un manejo seguro.</p>
<p><strong>Manejo en carretera mojada</strong></p>
<p>Las nervaduras centrales rotas permiten una mejor dispersi&oacute;n del agua, y permite que la goma llegue a la calle para hacer su trabajo.</p>","
Diseño vintage.

Un diseño de banda de rodadura perfecto para la mayoría de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.

Manejo y rendimiento

Los compuestos y la construcción modernos ofrecen una conducción estable y un manejo seguro.

Manejo en carretera mojada

Las nervaduras centrales rotas permiten una mejor dispersión del agua, y permite que la goma llegue a la calle para hacer su trabajo.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,43200,5100,600,600,120,90,110,Clásico/Urbano (diagonal y cruzado),,16,X-Ply,Neumáticos de motocicleta y scooter,,59,S < 180 km/h,,K36,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006367-1.jpg?context=bWFzdGVyfHJvb3R8NzcxOTh8aW1hZ2UvanBlZ3xhRGd4TDJoa09TOHlPVGN6TWpBMk1URTROREF6TUM4NE1EQlhlRGd3TUVoZk9UQXdOak0yTnkweExtcHdad3w4MGRiODYwYjAyMTI5MDEwZjY0NWMwZmY4MTYxM2IzMzFjYmIxM2ZhNGY3YjFiMmZmYTQxOTBkMzVlNmNlNDEw,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006388,,11130102,HEIDENAU,HEIDE TIRE K44 90/90-18,Neumático HEIDENAU K44 90/90-18 M/C 51S TL,122.82,101.50,62.93,4027694131021,0,4011400000,0,1,"<p><strong>Dise&ntilde;o vintage.</strong></p>
<p>Un dise&ntilde;o de banda de rodadura perfecto para la mayor&iacute;a de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.</p>
<p><strong>Manejo y rendimiento</strong></p>
<p>Los compuestos y la construcci&oacute;n modernos ofrecen una conducci&oacute;n estable y un manejo seguro.</p>
<p><strong>Manejo en carretera mojada</strong></p>
<p>Las nervaduras centrales rotas permiten una mejor dispersi&oacute;n del agua, y permite que la goma llegue a la calle para hacer su trabajo.</p>","
Diseño vintage.

Un diseño de banda de rodadura perfecto para la mayoría de las motos de finales de los 60 a finales de los 70. Adecuado para uso delantero, cuando se combina con el K36.

Manejo y rendimiento

Los compuestos y la construcción modernos ofrecen una conducción estable y un manejo seguro.

Manejo en carretera mojada

Las nervaduras centrales rotas permiten una mejor dispersión del agua, y permite que la goma llegue a la calle para hacer su trabajo.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,34596,3280,620,620,90,90,90,Clásico/Urbano (diagonal y cruzado),,18,X-Ply,Neumáticos de motocicleta y scooter,,51,S < 180 km/h,,K44,Delantero/trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006388-1.jpg?context=bWFzdGVyfHJvb3R8Mzg1MjR8aW1hZ2UvanBlZ3xhR016TDJobE5pOHlPVGN6TWpBM05ERTVNamt5Tmk4NE1EQlhlRGd3TUVoZk9UQXdOak00T0MweExtcHdad3wyNWY2M2U0MmIyYjFjYWNhNTQ1NWY1ZjcxMDdhOTQ1ZTQ5ODk5YzU3ZDhiM2JjNzFmZGNiNTM3MGRmN2ZjZDVh,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006447,,11160354,HEIDENAU,HEIDE TIRE K73 120/70-17,Neumático HEIDENAU K73 120/70-17 M/C 58H TL,204.49,169.00,104.78,4027694163541,0,4011400000,0,1,"<p><strong>La banda de rodadura</strong></p>
<p>Especialmente diseñada para Motards, la agresiva banda de rodadura de la K73 está especializada en la parte delantera y trasera para ofrecer el máximo rendimiento.</p>
<p><strong>Goma y lluvia</strong></p>
<p>El fantástico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracción no se vea comprometida, sin importar la superficie.</p>
<p>SILICA WINTER TIRES</p>
<p>To get you safely to your destination even in the cold season, we developed a winter-compatible compound-tread combination for motorbikes.The base for this is a tread with a high negative content, because the ability to carve through snow is an important aspect. For enoughgrip, even on cold and wet surfaces, the tread alone is not enough, the compound also have to be right. Standard tire compounds designedfor use from spring to autumn and they become hard at low temperatures. Consequently, a standard tire can only build up a reduced grip. Toeliminate this problem, Heidenau has developed a silica compound specially adapted for motorbikes. It is extra formulated for temperaturesbelow 6 degrees Celsius and so it provides excellent grip and outstanding wet grip on cold roads. The combination of winter compoundand tread is the base for our winter tires, which will get you safely to your destination even in the worst weather conditions.</p>","
La banda de rodadura

Especialmente diseñada para Motards, la agresiva banda de rodadura de la K73 está especializada en la parte delantera y trasera para ofrecer el máximo rendimiento.

Goma y lluvia

El fantástico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracción no se vea comprometida, sin importar la superficie.

SILICA WINTER TIRES

To get you safely to your destination even in the cold season, we developed a winter-compatible compound-tread combination for motorbikes.The base for this is a tread with a high negative content, because the ability to carve through snow is an important aspect. For enoughgrip, even on cold and wet surfaces, the tread alone is not enough, the compound also have to be right. Standard tire compounds designedfor use from spring to autumn and they become hard at low temperatures. Consequently, a standard tire can only build up a reduced grip. Toeliminate this problem, Heidenau has developed a silica compound specially adapted for motorbikes. It is extra formulated for temperaturesbelow 6 degrees Celsius and so it provides excellent grip and outstanding wet grip on cold roads. The combination of winter compoundand tread is the base for our winter tires, which will get you safely to your destination even in the worst weather conditions.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,43200,4510,600,600,120,70,120,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,58,H < 210 km/h,,K73,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006447-1.jpg?context=bWFzdGVyfHJvb3R8ODU3NjV8aW1hZ2UvanBlZ3xhR05tTDJnMlppOHlPVGN6TnpRek9EYzNNekkzT0M4NE1EQlhlRGd3TUVoZk9UQXdOalEwTnkweExtcHdad3w5MmFmZjQzOTQ5MTk2NGE4NDNjMjQxZGUxODQ4YjhkODFhYWEyZjgzMDAyYTU5NTRlNjI4MjE0MDNhZjM1YzMz,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006363,,11130014,HEIDENAU,HEIDE TIRE K33 3.00-16,Neumático HEIDENAU K33 REINF 3.00-16 M/C 48P TT,93.17,77.00,47.74,4027694130147,0,4011400000,0,1,"<p><strong>Caracter&iacute;sticas</strong></p>
<p>El cl&aacute;sico dibujo de la banda de rodadura es ideal para todos los j&oacute;venes y mayores y garantiza una gran estabilidad en la conducci&oacute;n.</p>","
Características

El clásico dibujo de la banda de rodadura es ideal para todos los jóvenes y mayores y garantiza una gran estabilidad en la conducción.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,27617,2670,570,570,85,,3.00,Clásico/Urbano (diagonal y cruzado),,16,X-Ply,Neumáticos de motocicleta y scooter,,48,P < 150 km/h,,K33,Delantero/trasero,TT - Para cámara,https://api.mybihr.com/medias/800Wx800H-9006363-1.jpg?context=bWFzdGVyfHJvb3R8NzgyNjh8aW1hZ2UvanBlZ3xhRFl6TDJobFlTOHlPVGN6TWpBMU9EQXpPRE13TWk4NE1EQlhlRGd3TUVoZk9UQXdOak0yTXkweExtcHdad3xhYjlkY2YzYjRlMzM2MzAwNzgzOTQ0ZTlhYjFjMmQxMGM1YzE0ODdhMGI2YTRiYjVjMmE3ODljNGYxYzY3MzY2,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006446,,11130054,HEIDENAU,HEIDE TIRE K73 120/70-17,Neumático HEIDENAU K73 120/70-17 M/C 58H TL,193.60,160.00,99.20,4027694130543,0,4011400000,0,1,"<p><strong>La banda de rodadura</strong></p>
<p>Especialmente dise&ntilde;ada para Motards, la agresiva banda de rodadura de la K73 est&aacute; especializada en la parte delantera y trasera para ofrecer el m&aacute;ximo rendimiento.</p>
<p><strong>Goma y lluvia</strong></p>
<p>El fant&aacute;stico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracci&oacute;n no se vea comprometida, sin importar la superficie.</p>","
La banda de rodadura

Especialmente diseñada para Motards, la agresiva banda de rodadura de la K73 está especializada en la parte delantera y trasera para ofrecer el máximo rendimiento.

Goma y lluvia

El fantástico compuesto de Heidenau trabaja con la banda de rodadura del K73 para asegurar que la tracción no se vea comprometida, sin importar la superficie.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,43200,4520,600,600,120,70,120,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,58,H < 210 km/h,,K73,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006446-1.jpg?context=bWFzdGVyfHJvb3R8ODU3NjV8aW1hZ2UvanBlZ3xhRFZqTDJnM1pDOHlPVGN6TnpRek9ETTRNREEyTWk4NE1EQlhlRGd3TUVoZk9UQXdOalEwTmkweExtcHdad3xkZmFmN2NjN2JiNWM4MDA1NjM2MjE5Zjc3NmYzY2U4N2ZiYTU0M2FhNDA0YWM2MGM2YjZkOGQ2OTZkNTQ4OTJi,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9006457,,11130042,HEIDENAU,HEIDE TIRE K80 80/100-17,Neumático HEIDENAU K80 80/100-17 M/C 53S TL,94.38,78.00,48.36,6027694130428,0,4011400000,0,1,"<p><strong>Rendimiento</strong></p>
<p>Un moderno dibujo neutro de la banda de rodadura y un nuevo compuesto hacen que el neum&aacute;tico se sienta como en casa en las curvas r&aacute;pidas o en las rectas. Confianza cuando la necesitas.</p>
<p><strong>Pasi&oacute;n</strong></p>
<p>Utilizando lo &uacute;ltimo en compuestos combinados con una carcasa de nuevo desarrollo, el K80 maximiza la tracci&oacute;n y el tacto de la carretera. Este combo ha alcanzado un magn&iacute;fico equilibrio entre la goma en la calle, y la adherencia en asfalto mojado.</p>","
Rendimiento

Un moderno dibujo neutro de la banda de rodadura y un nuevo compuesto hacen que el neumático se sienta como en casa en las curvas rápidas o en las rectas. Confianza cuando la necesitas.

Pasión

Utilizando lo último en compuestos combinados con una carcasa de nuevo desarrollo, el K80 maximiza la tracción y el tacto de la carretera. Este combo ha alcanzado un magnífico equilibrio entre la goma en la calle, y la adherencia en asfalto mojado.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE SP TRG X-PLY,28800,3360,600,600,80,100,80,Clásico/Urbano (diagonal y cruzado),,17,X-Ply,Neumáticos de motocicleta y scooter,,53,S < 180 km/h,,K80,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9006457-1.jpg?context=bWFzdGVyfHJvb3R8OTU4NTh8aW1hZ2UvanBlZ3xhRGRqTDJnMU1pOHlPVGN6TnpRME16ZzROVEE0Tmk4NE1EQlhlRGd3TUVoZk9UQXdOalExTnkweExtcHdad3xhNDQ0MjExMzBmZDEwNTM4YzE5OTAyOTI2YTU1NDgzOWUzMzg3YTRkYzE1MTIzYmUzOWVhZDgzNGQ1NmZjMWUy,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9004772,,11140031,HEIDENAU,HEIDE TIRE K60 SCOUT 170/60B17,HEIDENAU Tyre K60 SCOUT 170/60 B 17 M/C 72T TL M+S,304.92,252.00,156.24,4027694140313,4,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,78608,8400,680,680,170,60,170,Trail on-off,,17,Correa X-Ply,Neumáticos de motocicleta y scooter,,72,T < 190 km/h,Mud and Snow,K60 SCOUT,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9004772-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhRFE0TDJobU55ODFNVFEwT1RRd05UUTBNREF6TUM4NE1EQlhlRGd3TUVoZk9UQXdORGMzTWkweExtcHdad3w5NWYzOGJiZDdiZWM4NmU0YTBhNzAzOTUxMTdlOGZhYjNiZGRlYTA4YmU5YjE3OThlZDdjMmUzMTNiMWY1YzAz,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9004777,,11140085,HEIDENAU,HEIDE TIRE K60 SCOUT 110/80B19,HEIDENAU Tyre K60 SCOUT 110/80 B 19 M/C 59T TL M+S,220.83,182.50,113.15,4027694140856,2,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,50864,5520,680,680,110,80,110,Trail on-off,,19,Correa X-Ply,Neumáticos de motocicleta y scooter,,59,T < 190 km/h,Mud and Snow,K60 SCOUT,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9004777-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhR0l4TDJnNFpDODFNVFEwT1RRd05qUXlNekEzTUM4NE1EQlhlRGd3TUVoZk9UQXdORGMzTnkweExtcHdad3w2MDM4MzEwNzY5MThhZDVjNzkzMjlkYmYyZjdkNzhkOTI0MDE3NmJmZTNiODlmZTc5MjZkZjIxZmQxNTA4Yjg3,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9004774,,11140051,HEIDENAU,HEIDE TIRE K60 SCOUT 140/80-17,HEIDENAU Tyre K60 SCOUT 140/80-17 M/C 69T TL M+S,266.81,220.50,136.71,4027694140511,0,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,64736,7960,680,680,140,80,140,Trail on-off,,17,X-Ply,Neumáticos de motocicleta y scooter,,69,T < 190 km/h,Mud and Snow,K60 SCOUT,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9004774-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhR0ppTDJobE9TODFNVFEwT1RRd05UZ3pNekkwTmk4NE1EQlhlRGd3TUVoZk9UQXdORGMzTkMweExtcHdad3w1MmEyNTVlZDZkYTBkNDUzYzJjY2ZjMTc2Y2I2ZTNmNWI1NjhjZWUwMzMzZTYwZGI0ZWYyZDY0ODU2OThmMjA2,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9004776,,11140083,HEIDENAU,HEIDE TIRE K60 SCOUT 90/90-21,HEIDENAU Tyre K60 SCOUT 90/90-21 M/C 54T TL M+S,157.30,130.00,80.60,4027694140832,2,4011400000,0,1,"<p><strong>Durability, It’s about the Rubber</strong></p>
<p>Heidenau’s compound uses a high natural rubber content, and there’s a lot on there. This naturally resilient compound, combined with sturdy Belted construction, makes for one of the most trusted, longest lasting tires available to long distance travelers.</p>
<p><strong>Tread design</strong></p>
<p>Most asked question, why do different sizes look different? A new compound created new challenges in design. Heidenau took the opportunity at the inception of the Scout, to tailor the design to best suit the application. Incorporating feedback from customers and countless miles of testing, this resulted in tires looking different for the different bikes, but insuring the best performance.</p>
<p>RECOMMENDED USE:</p>
<ul>
	<li>60 % road &amp; paved paths</li>
	<li>40 % gravel/forest roads &amp; unpaved paths</li>
</ul>

<p>PROFILE DESIGN K60 Scout:</p>

<p>ue to vehicle-specific features, the tread design of the K60 Scout varies in the individual dimensions.</p>","
Durability, It’s about the Rubber

Heidenau’s compound uses a high natural rubber content, and there’s a lot on there. This naturally resilient compound, combined with sturdy Belted construction, makes for one of the most trusted, longest lasting tires available to long distance travelers.

Tread design

Most asked question, why do different sizes look different? A new compound created new challenges in design. Heidenau took the opportunity at the inception of the Scout, to tailor the design to best suit the application. Incorporating feedback from customers and countless miles of testing, this resulted in tires looking different for the different bikes, but insuring the best performance.

RECOMMENDED USE:

	60 % road & paved paths
	40 % gravel/forest roads & unpaved paths



PROFILE DESIGN K60 Scout:


ue to vehicle-specific features, the tread design of the K60 Scout varies in the individual dimensions.",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,46656,4560,720,720,90,90,90,Trail on-off,,21,X-Ply,Neumáticos de motocicleta y scooter,,54,T < 190 km/h,Mud and Snow,K60 SCOUT,Delantero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9004776-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhRGd5TDJnNU5DODFNVFEwT1RRd05qSXlOalEyTWk4NE1EQlhlRGd3TUVoZk9UQXdORGMzTmkweExtcHdad3w0NmU0MTkxOGU5ZTcxZjBlNWM3YzY0MmIwYTFkMDkzY2FiNzE4MTY2MzNiOTZkNGE2MzQ4NWY0MDlkN2JmZmM3,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
9004778,,11140086,HEIDENAU,HEIDE TIRE K60 SCOUT 150/70B17,HEIDENAU Tyre K60 SCOUT 150/70 B 17 M/C 69T TL M+S,284.35,235.00,145.70,4027694140863,3,4011400000,0,1,"<p><strong>Durabilidad, se trata del caucho</strong></p>
<p>El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.</p>
<p><strong>Diseño de la banda de rodadura</strong></p>
<p>La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.</p>
<p><strong>USO RECOMENDADO:</strong></p>
<ul>
	<li>60 % carretera y caminos pavimentados</li>
	<li>40 % caminos de grava/forestales y senderos sin asfaltar</li>
</ul>

<p><strong>DISEÑO DE PERFIL K60 Scout:</strong></p>

<p>Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:</p>","
Durabilidad, se trata del caucho

El compuesto de Heidenau utiliza un alto contenido de caucho natural, y hay mucho en él. Este compuesto naturalmente resistente, combinado con la robusta construcción Belted, hace que sea uno de los neumáticos más fiables y duraderos disponibles para los viajeros de larga distancia.

Diseño de la banda de rodadura

La pregunta más frecuente, ¿por qué los diferentes tamaños tienen un aspecto diferente? Un nuevo compuesto creó nuevos retos en el diseño. Heidenau aprovechó la oportunidad de crear el Scout para adaptar el diseño a la aplicación. Incorporando los comentarios de los clientes y los innumerables kilómetros de pruebas, esto dio como resultado neumáticos con un aspecto diferente para las diferentes motos, pero asegurando el mejor rendimiento.

USO RECOMENDADO:

	60 % carretera y caminos pavimentados
	40 % caminos de grava/forestales y senderos sin asfaltar



DISEÑO DE PERFIL K60 Scout:


Debido a las características específicas de cada vehículo, el diseño de la banda de rodadura del K60 Scout varía en las dimensiones de cada neumático. Puedes encontrar un resumen completo de las modificaciones aquí:",TIRES & ACCESSORIES,MOTORCYCLE,MC TIRE TR ON/OFF,65340,8000,660,660,150,70,150,Trail on-off,,17,Correa X-Ply,Neumáticos de motocicleta y scooter,,69,T < 190 km/h,Mud and Snow,K60 SCOUT,Trasero,TL - Tubeless,https://api.mybihr.com/medias/800Wx800H-9004778-1.jpg?context=bWFzdGVyfHJvb3R8NzQzNTd8aW1hZ2UvanBlZ3xhR1kxTDJnNE5pODFNVFEwT1RRd05qWXhPVFkzT0M4NE1EQlhlRGd3TUVoZk9UQXdORGMzT0MweExtcHdad3xiYWRkZWRmMzUyNzdmNjc2OTdhOTkxMzg4NDBiOWRiMDk3ODVmOGFlOGI1MWU2YmQxYWEyMjA2MjQyYjVlODk4,,,,,https://static.bihr.pro/eBihr/Pictures/HEIDENAU-pictures.zip,Spain Warehouse (Tires)
