PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Acabado de la tapa del silenciador,Acabado del silenciador de escape,Acabado del tubo,Altura (mm),Anchura (mm),Ángulo ( ° ),Calidad de la correa,Calidad de los muelles,Capacidad (ml/l),Color,Composición,Compresión de pistón,Diámetro del extremo delantero del tubo,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Especificaciones,Gas Emissions Approval,Homologación,Homologación de emisiones acústicas,Kit de catalizador de escape opcional,Longitud (mm),Nº de rodillos,Nº de segmentos,Número de filtro,Peso (g),Peso (kg),Posición,Relación de compresión,Sobremedida,Tipo de motor,Tipo de pistón,Tolerancia,Uso recomendado,Versión de filtro,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,Document2,Document3,Document4,Document5,Document6,DeliveryPlant
1012045,PLN2090446,209.0446,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini DERBI SENDA D.50,10.50,8.68,6.51,209.0446,2,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,170,10,104,117,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012045-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTI2Nzd8aW1hZ2UvanBlZ3xhRGhpTDJnMU15OHhOVFF4TXprMU1EZzNNell6TUM4eE1ERXlNRFExTFRGZk9EQXdWM2c0TURCSXxhZjM2M2RkZTBlMzVlYWE0ZTcxZTI5MDU4Y2U4MjNjZTM4NTEzZTUxNmJmZDY4ZDUxMDIyYmQ3NmExNjViYTE4,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012065,PLN2820001,282.0001,POLINI,POLIN SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal Polini PIAGGIO ZIP,45.00,37.19,19.95,8054705085260,18,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,298,322,80,155,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012065-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA5ODM5fGltYWdlL2pwZWd8YUdVM0wyZzJNUzh4TlRReE16azFPRGN6TnprMU1DOHhNREV5TURZMUxURmZPREF3VjNnNE1EQkl8OWZhYTk0YWY0YjdiYmZkNjQ1NTlhNmU2ZWJmZTU0MjMzMjVkOTMwOGE1ZmYzZmRhZTUzNDY5NjZkMzA2MTFmNA,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012066,PLN2820002,282.0002,POLINI,POLIN SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal POLINI motor Minarelli,34.00,28.10,15.27,8054705085277,18,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,314,272,80,157,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012066-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODk0NzV8aW1hZ2UvanBlZ3xhRGxoTDJnd1l5OHhOVFF4TXprMU9URXpNVEUyTmk4eE1ERXlNRFkyTFRGZk9EQXdWM2c0TURCSXxhYTQyM2JlZTdiZmYxZTU4YTJmNzdhMjA0NWJhZmMxMTM5MTQzMTk2NjNhODdjNjMzNDA5MjI2NDM1MzFkMWNh,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012067,PLN2820003,282.0003,POLINI,POLIN SEALING CRANKSHAFT SET,Kit rodamientos y retenes de cigüeñal POLINI motor Minarelli AM6,33.50,27.69,15.15,8054705085284,20,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,312,286,81,154,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012067-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTUyNDZ8aW1hZ2UvanBlZ3xhR1l5TDJnd01DOHhOVFF4TXprMU9UVXlORE00TWk4eE1ERXlNRFkzTFRGZk9EQXdWM2c0TURCSXxkNzRjMjVjZDRkZjgwNjhjYzg0OWQxMDNmNWYzMjY5Y2U5NzA4MTAwNWRjODQ4YjI1MjcxZGI0N2VjMGUwNTFi,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012055,PLN2850002,285.0002,POLINI,POLIN OIL SEAL CRANKSHAFT SET,Retenes de cigüeñal POLINI Minarelli horizontal y vertical,22.00,18.18,9.28,8054705085383,7,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,110,32,90,122,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012055-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgwNjd8aW1hZ2UvanBlZ3xhREExTDJnd05pOHhOVFF4TXprMU5EZ3dOVGM1TUM4eE1ERXlNRFUxTFRGZk9EQXdWM2c0TURCSXwyNzk1ZDg0MDg0YzdlOWQ2ZGIwNGE4OTFmNTcwNDljZjNhOTk2N2U2YWNjY2E1MzU0NGQxMDU3MDEwZjdkNWJk,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012025,PLN2090226,209.0226,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Yamaha Minarelli Aprilia,13.50,11.16,8.37,8054705062377,12,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,182,10,101,106,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012025-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjE2NTB8aW1hZ2UvanBlZ3xhREl4TDJoaE5TOHhOVFF4TXprME16QXdPVE14TUM4eE1ERXlNREkxTFRGZk9EQXdWM2c0TURCSXw4NGUyNDhjYmYzOTdmOWE0ZDRhODJmMDAyMjAzMTI1NDMwOTIzN2FiODRhM2Y3OTc4ODQyZmE5ZjdjYmFjOWZh,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012056,PLN2850003,285.0003,POLINI,POLIN OIL SEAL CRANKSHAFT SET,Retenes de cigüeñal POLINI motor Minarelli AM6,21.01,17.36,13.02,285.0003,18,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,244,28,90,123,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012056-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgyNTd8aW1hZ2UvanBlZ3xhR1V6TDJnMFl5OHhOVFF4TXprMU5URTVPVEF3Tmk4eE1ERXlNRFUyTFRGZk9EQXdWM2c0TURCSXxjNWU2ZGU3MTBjNTQ2OTUyOWNiOThlNWE4NzBiODM0MGIyOWI0Mjk5MDdjNTY4YjlkNTFiYmNkY2U2ZDQ3YThk,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012034,PLN2090412,209.0412,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Yamaha Aprilia H2O,18.00,14.88,11.16,8054705063121,7,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,294,4,125,98,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012034-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg0NTd8aW1hZ2UvanBlZ3xhR1k1TDJnd1lpOHhOVFF4TXprME5qVTBPREkxTkM4eE1ERXlNRE0wTFRGZk9EQXdWM2c0TURCSXwzMjY0Y2ZlMjYzNmI5YjA5NzIwYTEwNGE4YzM4MzAxYTA1OTgzMWFjNjkzZDk2NjgxMGNhNjI5ZDBjMzBiZDdk,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012043,PLN2090442,209.0442,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini Honda SH 150 4T (2090442),141.00,116.53,43.53,209.0442,2,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,315,42,150,150,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012043-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU5NTl8aW1hZ2UvanBlZ3xhRFZrTDJnek9DOHhOVFF4TXprMU1EQTROekU1T0M4eE1ERXlNRFF6TFRGZk9EQXdWM2c0TURCSXxhN2JhOGMzNjk2ZWE3YTMyNzc0ZWY1MTVjNDQ2M2EyNjc1MzhjNTcwNDVlMGRlZDIxMTZhYjRjNmU2NzI0NTI3,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012036,PLN2090422,209.0422,POLINI,POLIN GASKET CYLINDER SET,Juego de juntas Polini APRILIA 125/150 4T (2090422),113.50,93.80,31.85,209.0422,1,4016930090,0,1,"<p><strong>Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.</strong></p>","
Products reserved exclusively for competitions in designated areas, in accordance with the provisions of the competent sports authorities. We assume no responsibility for improper use.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,438,80,180,221,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012036-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU0NDV8aW1hZ2UvanBlZ3xhR1V3TDJnMU5pOHhOVFF4TXprME56TXpORFk0Tmk4eE1ERXlNRE0yTFRGZk9EQXdWM2c0TURCSXxkNzYzMjM2N2MwNGQzMjBjZjJlMTlmZWI2YTJhZDk1MTA5NDQ3N2UzMjkzMWYwNTk2NTI5MjdkODY5MDc1MWQ0,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012054,PLN2850001,285.0001,POLINI,POLIN OIL SEAL CRANKSHAFT SET,RETENES CIGÜEÑAL POLINI PTFE/FKM PIAGGIO GILERA,19.51,16.12,7.56,8054705085376,9,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,242,22,90,122,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012054-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgxOTV8aW1hZ2UvanBlZ3xhRGt6TDJneE15OHhOVFF4TXprMU5EUXhNalUzTkM4eE1ERXlNRFUwTFRGZk9EQXdWM2c0TURCSXxlMGY0MzhiYmNlOTExODU2NmM0NTdiZTQxYTIzYjIxMmViOTBmNDc0OThlODQ2YTBlMDMwZjBkMGQ2ODgzZDRm,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012059,PLN2850006,285.0006,POLINI,POLIN OIL SEAL CRANKSHAFT SET,JUEGO RETENES POLINI PTFE/FKM CIGUEÑAL VESPA D.20 285.0006,22.00,18.18,13.64,285.0006,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,246,34,91,123,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012059-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzA1Mjd8aW1hZ2UvanBlZ3xhRFJoTDJoaVpDOHhOVFF4TXprMU5qTTNPRFkxTkM4eE1ERXlNRFU1TFRGZk9EQXdWM2c0TURCSXwyNTYwYTg3ZWU4M2JlZDA1OTQ4YmZkNTIyYjc4ZjZkNDcwMzg1MGM3MjZhZDFiODdiZDE4NDY2YmYzMDlmM2Ji,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
1012010,PLN2800019,280.0019,POLINI,POLIN BEARING PISTON PIN,JAULA POLINI D.12 DERBI/MINARELLI 12x15x15 (2800019),10.50,8.68,6.51,8054705084997,14,8714109090,0,1,<p>ØInterior: 12mm</p><p>ØExterior: 15mm</p><p>Altura: 15mm</p>,"
ØInterior: 12mm
ØExterior: 15mm
Altura: 15mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,,,38,8,46,43,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1012010-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzY5NjR8aW1hZ2UvanBlZ3xhR1l3TDJnM1ppOHhOVFF4TXprek56RXhNVEEzTUM4eE1ERXlNREV3TFRGZk9EQXdWM2c0TURCSXxjMjljNmVhYzVlMzA5MDI3YTUwZmU0NGE2NGM3MjE5MDYxNjA3NzgwYjhkY2YxMzI1ODk0MmMyNzFhYzg1YTBm,,,,,https://static.bihr.pro/eBihr/Pictures/POLINI-pictures.zip,,,,,,,Spain Warehouse (Parts)
